0,1,1
1,127,106
2,262,223
3,410,362
4,565,423
5,695,452
6,846,415
7,990,543
8,1118,648
9,1248,766
10,1404,914
11,1528,1030
12,1665,823
13,1813,945
14,1941,1061
15,2092,1063
16,2228,619
17,2375,758
18,2527,670
19,2652,513
20,2801,436
21,2956,577
22,3098,654
23,3224,770
24,3361,499
25,3492,620
26,3635,752
27,3760,784
28,3902,922
29,4023,1017
30,4157,690
31,4302,827
32,4443,960
33,4563,981
34,4707,1121
35,4849,981
36,4992,1084
37,5135,923
38,5272,959
39,5420,600
40,5568,741
41,5691,857
42,5813,951
43,5955,1086
44,6111,442
45,6246,274
46,6371,391
47,6517,534
48,6660,627
49,6779,734
50,6916,616
51,7053,751
52,7189,879
53,7320,659
54,7469,563
55,7608,698
56,7748,401
57,7873,429
58,8013,563
59,8146,680
60,8272,788
61,8411,682
62,8530,795
63,8679,922
64,8814,1053
65,8962,841
66,9079,928
67,9206,712
68,9337,834
69,9461,480
70,9590,507
71,9734,545
72,9850,651
73,9964,749
74,10100,438
75,10206,511
76,10332,563
77,10465,650
78,10598,692
79,10723,800
80,10843,909
81,10977,1031
82,11101,1152
83,11227,1136
84,11342,1219
85,11456,1035
86,11578,1049
87,11709,1177
88,11848,1313
89,11977,1438
90,12120,1236
91,12274,1377
92,12427,1326
93,12561,1388
94,12701,1452
95,12828,1375
96,12963,1507
97,13109,1650
98,13240,1769
99,13372,1897
100,13498,2016
101,13645,2148
102,13791,2279
103,13928,2413
104,14063,2536
105,14215,2666
106,14363,2799
107,14499,2933
108,14636,3066
109,14775,3202
110,14919,3331
111,15064,3455
112,15183,3527
113,15314,3654
114,15451,3776
115,15590,3911
116,15738,4048
117,15878,2330
118,16008,1078
119,16147,1077
120,16276,914
121,16416,884
122,16539,1000
123,16685,1001
124,16802,673
125,16936,636
126,17096,677
127,17218,565
128,17363,267
129,17491,363
130,17644,243
131,17786,371
132,17925,219
133,18068,339
134,18197,420
135,18337,553
136,18478,661
137,18608,565
138,18722,675
139,18866,791
140,18991,821
141,19127,902
142,19257,680
143,19405,716
144,19536,834
145,19679,586
146,19812,547
147,19941,665
148,20077,799
149,20214,926
150,20346,615
151,20483,723
152,20621,853
153,20747,857
154,20886,910
155,21020,1010
156,21161,586
157,21282,694
158,21414,644
159,21560,787
160,21697,917
161,21838,1048
162,21978,965
163,22109,1089
164,22254,1231
165,22403,1239
166,22524,1353
167,22676,1479
168,22817,1616
169,22966,1757
170,23116,1886
171,23241,1956
172,23378,2086
173,23506,2207
174,23659,2349
175,23787,2388
176,23915,2462
177,24040,2579
178,24187,2312
179,24323,1509
180,24469,1652
181,24589,1728
182,24722,1665
183,24860,1067
184,24987,1142
185,25115,903
186,25266,919
187,25407,783
188,25540,699
189,25688,660
190,25814,732
191,25955,703
192,26081,397
193,26225,254
194,26353,251
195,26501,341
196,26632,277
197,26765,369
198,26887,422
199,27025,549
200,27174,560
201,27329,585
202,27470,701
203,27605,817
204,27749,953
205,27879,988
206,28014,1093
207,28151,1183
208,28291,1118
209,28433,848
210,28569,957
211,28710,1076
212,28860,1196
213,29008,1339
214,29148,1379
215,29320,1536
216,29459,1663
217,29609,1798
218,29765,1936
219,29905,2064
220,30042,2148
221,30179,2280
222,30305,2398
223,30435,2520
224,30566,2615
225,30704,2742
226,30861,2892
227,30999,3026
228,31155,3180
229,31298,3316
230,31444,3445
231,31579,3563
232,31727,3701
233,31862,3801
234,31998,3930
235,32134,4062
236,32270,4189
237,32401,4318
238,32553,4465
239,32693,4598
240,32832,2824
241,32977,2533
242,33119,1897
243,33256,1468
244,33386,689
245,33529,825
246,33664,556
247,33816,675
248,33960,787
249,34092,615
250,34230,702
251,34379,450
252,34524,401
253,34659,389
254,34800,488
255,34938,503
256,35083,603
257,35214,718
258,35363,655
259,35500,344
260,35638,430
261,35768,521
262,35924,636
263,36067,761
264,36208,696
265,36357,835
266,36494,490
267,36642,618
268,36795,751
269,36935,607
270,37068,543
271,37208,353
272,37326,403
273,37480,409
274,37609,535
275,37765,616
276,37903,661
277,38058,726
278,38194,541
279,38336,654
280,38480,764
281,38623,867
282,38775,962
283,38905,1025
284,39049,1103
285,39184,1148
286,39329,1251
287,39469,1380
288,39624,1421
289,39790,1570
290,39940,1715
291,40071,1844
292,40211,1970
293,40335,2077
294,40477,1312
295,40625,1393
296,40772,1331
297,40919,1466
298,41050,1585
299,41190,1243
300,41314,1360
301,41450,1062
302,41601,1184
303,41746,683
304,41879,627
305,42006,394
306,42136,302
307,42271,408
308,42416,346
309,42528,416
310,42671,334
311,42790,249
312,42935,206
313,43047,307
314,43168,410
315,43316,458
316,43467,603
317,43593,631
318,43724,391
319,43855,376
320,43994,402
321,44125,392
322,44256,267
323,44383,391
324,44504,412
325,44642,547
326,44772,675
327,44907,803
328,45034,924
329,45157,1039
330,45290,1170
331,45426,1291
332,45575,1433
333,45716,1444
334,45850,1574
335,45978,1697
336,46105,1817
337,46240,1948
338,46380,2060
339,46512,2185
340,46663,2329
341,46791,2454
342,46917,2576
343,47074,2730
344,47203,2858
345,47326,2978
346,47461,3109
347,47604,3245
348,47742,3381
349,47883,3520
350,48012,3647
351,48145,3747
352,48287,3883
353,48414,4003
354,48555,4137
355,48687,4264
356,48817,4390
357,48962,4532
358,49106,4672
359,49230,4794
360,49354,4915
361,49489,3660
362,49617,3285
363,49752,2193
364,49878,2316
365,50025,2457
366,50167,2515
367,50294,2227
368,50415,1876
369,50547,1956
370,50675,1856
371,50828,1362
372,50968,1476
373,51115,1607
374,51244,1717
